indicator_index,indicator_name,description,n_pathways,pathways
0,OXPHOS_CI,Respiratory chain Complex I expression state,2,CI_subunits|CI_assembly_factors
1,OXPHOS_CII_CIII,Respiratory chain Complex II & III expression,5,CII_subunits|CII_assembly_factors|CIII_subunits|CIII_assembly_factors|Respirasome_assembly
2,OXPHOS_CIV_CV,Respiratory chain Complex IV & V expression,4,CIV_subunits|CIV_assembly_factors|CV_subunits|CV_assembly_factors
3,TCA_PYRUVATE,TCA cycle and central carbon metabolism,5,TCA_cycle|TCA-associated|Pyruvate_metabolism|Gluconeogenesis|Malate-aspartate_shuttle
4,FAO_LIPID,Fatty acid oxidation and lipid metabolism,9,Fatty_acid_oxidation|Type_II_fatty_acid_synthesis|Cardiolipin_synthesis|Phospholipid_metabolism|Cholesterol_bile_acid_steroid_synthesis|Carnitine_synthesis_and_transport|Carnitine_shuttle|Lipoate_insertion|Ketone_metabolism
5,AA_COFACTOR,Amino acid metabolism and cofactor biosynthesis,31,Branched-chain_amino_acid_metabolism|Branched-chain_amino_acid_dehydrogenase_complex|Lysine_metabolism|Serine_metabolism|Glycine_metabolism|Glycine_cleavage_system|Glutamate_metabolism|Proline_metabolism|Glyoxylate_metabolism|GABA_metabolism|Catechol_metabolism|Kynurenine_metabolism|Urea_cycle|Coenzyme_Q_metabolism|Coenzyme_A_metabolism|Heme_synthesis_and_processing|Fe-S_cluster_biosynthesis|Fe-S-containing_proteins|Heme-containing_proteins|NAD_biosynthesis_and_metabolism|Iron_homeostasis|Copper_metabolism|Molybdenum_cofactor_synthesis_and_proteins|Tetrahydrobiopterin_synthesis|Vitamin_A_metabolism|Vitamin_B2_metabolism|Vitamin_B12_metabolism|Vitamin_D_metabolism|Folate_and_1-C_metabolism|Biotin_utilizing_proteins|Choline_and_betaine_metabolism
6,MITO_RIBOSOME,Mitochondrial translation machinery,5,Mitochondrial_ribosome|Mitochondrial_ribosome_assembly|Translation_factors|mt-tRNA_synthetases|fMet_processing
7,mtDNA_RNA,mtDNA maintenance and RNA metabolism,11,mtDNA_replication|mtDNA_nucleoid|mtDNA_repair|mtDNA_stability_and_decay|Transcription|mtRNA_granules|Polycistronic_mtRNA_processing|mt-tRNA_modifications|mt-rRNA_modifications|mt-mRNA_modifications|mtRNA_stability_and_decay
8,PROTEIN_IMPORT,"Protein import, processing and quality control",9,TOM|SAM|MIA40|TIM22_carrier_pathway|TIM23_presequence_pathway|Import_motor|Preprotein_cleavage|Proteases|Chaperones
9,TRANSPORT,Small molecule and ion transport,5,SLC25A_family|ABC_transporters|Sideroflexins|Calcium_uniporter|Nucleotide_import
10,REDOX_DETOX,Redox balance and detoxification,7,ROS_and_glutathione_metabolism|Xenobiotic_metabolism|Selenoproteins|Amidoxime_reducing_complex|Cytochromes|Q-linked_reactions_other|Sulfur_metabolism
11,MITO_DYNAMICS,"Mitochondrial dynamics, membrane structure and trafficking",7,Fusion|Fission|Organelle_contact_sites|Intramitochondrial_membrane_interactions|Trafficking|Cristae_formation|MICOS_complex
12,CELL_DEATH,"Cell death regulation (apoptosis, mitophagy, MPTP) — directly linked to CRISPR fitness phenotypes",4,Apoptosis|Mitophagy|Autophagy|Mitochondrial_permeability_transition_pore
13,SIGNALING,"Mitochondrial signaling (calcium, immune, cAMP-PKA)",5,Calcium_homeostasis|Calcium_cycle|EF_hand_proteins|Immune_response|cAMP-PKA_signaling
